issue_id,occurred_at,event_type,actor
PAY-101,2025-01-06T09:00:00Z,committed,alex
PAY-101,2025-01-06T13:00:00Z,review_requested,alex
PAY-101,2025-01-07T10:00:00Z,review_approved,priya
PAY-101,2025-01-07T15:00:00Z,merged,alex
PAY-101,2025-01-08T09:30:00Z,deployed,release-bot
PAY-102,2025-01-07T10:00:00Z,committed,priya
PAY-102,2025-01-08T09:00:00Z,review_requested,priya
PAY-102,2025-01-10T16:00:00Z,review_approved,alex
PAY-102,2025-01-13T11:00:00Z,merged,priya
PAY-102,2025-01-14T09:00:00Z,deployed,release-bot
PAY-103,2025-01-09T08:30:00Z,committed,morgan
PAY-103,2025-01-09T12:00:00Z,review_requested,morgan
PAY-103,2025-01-09T16:00:00Z,review_started,alex
PAY-103,2025-01-10T10:00:00Z,review_approved,alex
PAY-103,2025-01-10T14:00:00Z,merged,morgan
PAY-104,2025-01-13T09:00:00Z,committed,alex
PAY-104,2025-01-15T17:00:00Z,review_requested,alex
PAY-105,2025-01-14T09:00:00Z,committed,priya
PAY-105,2025-01-14T11:30:00Z,review_requested,priya
PAY-105,2025-01-15T09:00:00Z,review_approved,morgan
PAY-105,2025-01-15T10:00:00Z,merged,priya
PAY-105,2025-01-15T16:00:00Z,deployed,release-bot
